"V1","V2"
"0.149","1719-Jens"
"0.321","544-Jetta"
"0.044","2617-Jiangxi"
"6.819","3407-Jimmysimms"
"5.727","5494-Johanmohr"
"12.80","127-Johanna"
"5.483","4764-Joneberhart"
"0.163","1423-Jose"
"12.91","1248-Jugurtha"
"0.176","89-Julia"
"0.031","816-Juliana"
"0.238","3-Juno"
"2.728","7905-Juzoitami"
NA,"1500-Jyvaskyla"
NA,"5195-Kaendler"
"4.058","4284-Kaho"
"5.180","3086-Kalbaugh"
"0.142","22-Kalliope"
"3.831","7289-Kamegamori"
"5.728","4265-Kani"
"9.453","1987-Kaplan"
"3.375","1682-Karel"
"3.167","1676-Kariba"
"18.35","832-Karin"
NA,"3758-Karttunen"
"5.623","2156-Kate"
"9.500","1900-Katyusha"
"9.196","1508-Kemi"
"188.0","1278-Kenya"
"5.367","9563-Kitty"
"8.787","5488-Kiyosato"
"4.744","1825-Klare"
"8.969","12045-Klein"
"0.171","1723-Klemola"
"0.116","216-Kleopatra"
"0.229","97-Klotho"
"0.063","1040-Klumpkea"
"0.057","104-Klymene"
"0.161","179-Klytaemnestra"
"0.225","73-Klytia"
NA,"7106-Kondakov"
"4.657","1855-Korolev"
"0.277","158-Koronis"
"0.092","867-Kovacia"
"4.464","800-Kressmannia"
"0.244","242-Kriemhild"
"8.111","3455-Kristensen"
NA,"1774-Kulikov"
"12.61","553-Kundry"
"0.113","936-Kunigunde"
"0.299","1503-Kuopio"
NA,"7201-Kuritariku"
"6.345","6276-Kurohone"
"4.302","1559-Kustaanheimo"
NA,"28133-Kylebardwell"
"0.141","669-Kypria"
"0.046","336-Lacadiera"
"0.046","120-Lachesis"
"0.270","208-Lacrimosa"
"0.287","39-Laetitia"
"0.057","187-Lamberta"
"0.336","2381-Landi"
"0.147","683-Lanzia"
"0.061","1819-Laputa"
"0.183","639-Latona"
NA,"1597-Laugier"
"0.053","162-Laurentia"
"3.934","1401-Lavonne"
"0.062","38-Leda"
"5.848","789-Lena"
"0.077","1378-Leonce"
"6.786","844-Leontina"
"0.228","68-Leto"
"0.066","35-Leukothea"
"0.166","1997-Leverrier"
"0.130","771-Libera"
"0.225","125-Liberatrix"
"3.086","1816-Liberia"
"0.297","264-Libussa"
"0.050","756-Lilliana"
"0.081","1490-Limpopo"
"0.231","1407-Lindelof"
NA,"5281-Lindstrom"
"4.730","3910-Liszt"
"5.413","1858-Lobachevskij"
"14.06","1820-Lohmann"
"0.053","117-Lomia"
"24.49","1379-Lomonosowa"
"0.064","165-Loreley"
"0.132","222-Lucia"
"9.310","1892-Lucienne"
"0.106","1930-Lucifer"
"0.053","146-Lucina"
"0.199","281-Lucretia"
"7.717","675-Ludmilla"
"6.440","12384-Luigimartella"
"0.060","1334-Lundmarka"
